City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,56.57,63,89,23.53,AU,2022-07-09 16:46:14
1,Vila,42.0304,-8.1588,90.7,25,0,3.4,PT,2022-07-09 16:46:14
2,Antofagasta,-23.65,-70.4,68.22,61,100,6.51,CL,2022-07-09 16:45:45
3,Mattru,7.6244,-11.8332,75.24,93,87,5.53,SL,2022-07-09 16:46:15
4,Mahebourg,-20.4081,57.7,70.09,68,40,16.11,MU,2022-07-09 16:46:15
5,Coari,-4.085,-63.1414,85.86,64,46,4.47,BR,2022-07-09 16:46:15
6,Bethel,41.3712,-73.414,83.62,49,20,11.5,US,2022-07-09 16:46:16
7,Khatanga,71.9667,102.5,45.61,93,100,2.55,RU,2022-07-09 16:46:16
8,Klaksvik,62.2266,-6.589,50.92,97,100,11.77,FO,2022-07-09 16:46:16
9,Tahoua,14.8888,5.2692,96.78,34,20,10.36,NE,2022-07-09 16:46:17
10,Northam,51.0333,-4.2167,67.24,68,19,11.68,GB,2022-07-09 16:46:17
11,Mar Del Plata,-38.0023,-57.5575,56.95,83,100,11.5,AR,2022-07-09 16:46:17
12,Vaini,-21.2,-175.2,74.62,75,15,22.08,TO,2022-07-09 16:46:18
13,Bambous Virieux,-20.3428,57.7575,70.05,68,40,16.11,MU,2022-07-09 16:46:18
14,Punta Arenas,-53.15,-70.9167,32.11,64,20,11.5,CL,2022-07-09 16:46:18
15,Butaritari,3.0707,172.7902,81.01,80,25,13.71,KI,2022-07-09 16:46:18
16,Tasiilaq,65.6145,-37.6368,50.16,81,100,6.24,GL,2022-07-09 16:46:19
17,Raudeberg,61.9875,5.1352,52.47,84,100,15.79,NO,2022-07-09 16:46:19
18,Kapaa,22.0752,-159.319,75.52,90,40,13.8,US,2022-07-09 16:46:19
19,Ushuaia,-54.8,-68.3,28.06,86,75,18.41,AR,2022-07-09 16:43:29
20,Iqaluit,63.7506,-68.5145,40.73,80,20,8.05,CA,2022-07-09 16:45:55
21,Rikitea,-23.1203,-134.9692,74.64,77,100,15.84,PF,2022-07-09 16:46:20
22,Puerto Ayora,-0.7393,-90.3518,75.16,96,89,7.0,EC,2022-07-09 16:46:20
23,Chuy,-33.6971,-53.4616,61.03,90,93,12.5,UY,2022-07-09 16:46:20
24,Quatre Cocos,-20.2078,57.7625,69.91,63,95,22.86,MU,2022-07-09 16:46:21
25,Kaitangata,-46.2817,169.8464,33.75,86,60,4.41,NZ,2022-07-09 16:46:21
26,Galdar,28.147,-15.6502,81.1,70,25,13.87,ES,2022-07-09 16:46:21
27,Jamestown,42.097,-79.2353,78.06,49,0,11.5,US,2022-07-09 16:46:21
28,Qaanaaq,77.484,-69.3632,42.64,77,99,0.49,GL,2022-07-09 16:46:22
29,Lorengau,-2.0226,147.2712,81.64,78,99,10.0,PG,2022-07-09 16:46:22
30,Port Alfred,-33.5906,26.891,68.18,36,0,10.45,ZA,2022-07-09 16:46:22
31,Saldanha,-33.0117,17.9442,55.45,88,59,17.52,ZA,2022-07-09 16:46:22
32,Ancud,-41.8697,-73.8203,46.22,88,100,5.41,CL,2022-07-09 16:46:23
33,Birin,26.8865,88.0718,65.41,88,47,2.71,NP,2022-07-09 16:46:23
34,Muravlenko,63.7898,74.523,67.48,54,4,9.01,RU,2022-07-09 16:46:23
35,Innisfail,-17.5333,146.0333,65.86,81,100,5.26,AU,2022-07-09 16:46:24
36,Bluff,-46.6,168.3333,35.8,70,66,4.07,NZ,2022-07-09 16:46:24
37,Portland,45.5234,-122.6762,71.62,69,75,6.91,US,2022-07-09 16:41:59
38,Aranos,-24.1333,19.1167,64.78,23,0,11.59,NA,2022-07-09 16:46:24
39,Vila Velha,-20.3297,-40.2925,76.95,91,75,5.75,BR,2022-07-09 16:46:25
40,Meulaboh,4.1363,96.1285,77.77,87,99,3.56,ID,2022-07-09 16:46:25
41,Clyde River,70.4692,-68.5914,43.03,81,20,2.3,CA,2022-07-09 16:46:25
42,Clyde,41.3042,-82.9752,78.19,74,24,15.75,US,2022-07-09 16:46:25
43,Cape Town,-33.9258,18.4232,59.38,88,75,14.97,ZA,2022-07-09 16:46:26
44,Chokurdakh,70.6333,147.9167,45.28,59,100,3.0,RU,2022-07-09 16:46:26
45,Ostrovnoy,68.0531,39.5131,48.47,87,87,7.18,RU,2022-07-09 16:46:26
46,Hermanus,-34.4187,19.2345,58.96,75,23,10.49,ZA,2022-07-09 16:46:27
47,Sa Kaeo,13.75,102.3333,75.88,92,100,10.71,TH,2022-07-09 16:47:27
48,Mataura,-46.1927,168.8643,35.47,92,23,2.13,NZ,2022-07-09 16:47:27
49,Longyearbyen,78.2186,15.6401,46.24,61,20,20.71,SJ,2022-07-09 16:47:27
50,Isangel,-19.55,169.2667,73.74,84,11,7.38,VU,2022-07-09 16:47:28
51,Murud,18.3258,72.965,79.74,84,100,15.12,IN,2022-07-09 16:47:28
52,Sao Joao Da Barra,-21.6403,-41.0511,80.69,72,14,12.86,BR,2022-07-09 16:47:28
53,Zhigansk,66.7697,123.3711,47.52,85,60,8.32,RU,2022-07-09 16:47:29
54,Lucapa,-8.4192,20.7447,74.5,25,24,1.83,AO,2022-07-09 16:47:29
55,Wilmington,34.2257,-77.9447,91.31,70,0,5.75,US,2022-07-09 16:45:29
56,Albany,42.6001,-73.9662,76.95,48,1,1.99,US,2022-07-09 16:43:30
57,Castro,-24.7911,-50.0119,72.9,42,34,6.24,BR,2022-07-09 16:47:29
58,New Norfolk,-42.7826,147.0587,45.9,81,52,2.66,AU,2022-07-09 16:47:29
59,Hobart,-42.8794,147.3294,46.26,89,100,6.91,AU,2022-07-09 16:45:31
