City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coihaique,CL,-45.5752,-72.0662,35.55,93,100,0.0,mist
1,Fairbanks,US,64.8378,-147.7164,74.61,59,98,1.01,overcast clouds
2,Grindavik,IS,63.8424,-22.4338,49.95,100,100,20.71,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,46.92,88,9,2.17,clear sky
4,Vengerovo,RU,55.6848,76.7471,62.69,82,65,6.82,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,74.03,80,43,13.96,moderate rain
6,Salalah,OM,17.0151,54.0924,77.59,95,100,14.23,light rain
7,Butaritari,KI,3.0707,172.7902,81.68,79,49,12.35,scattered clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,8.05,mist
9,Saskylakh,RU,71.9167,114.0833,50.54,76,100,7.27,overcast clouds
10,Dongsheng,CN,39.8161,109.9776,66.2,53,0,12.97,clear sky
11,Leningradskiy,RU,69.3833,178.4167,36.14,91,100,9.22,overcast clouds
12,Irpa Irpa,BO,-17.7167,-66.2667,68.0,53,60,5.08,broken clouds
13,Mabaruma,GY,8.2,-59.7833,74.75,98,100,2.37,overcast clouds
14,Orhangazi,TR,40.4892,29.3089,69.51,83,52,3.67,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,28.11,79,9,13.04,clear sky
16,Atuona,PF,-9.8,-139.0333,77.88,77,21,18.12,few clouds
17,Camocim,BR,-2.9022,-40.8411,77.79,78,98,11.3,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,63.18,72,0,8.01,clear sky
19,Albany,US,42.6001,-73.9662,73.81,57,15,3.74,few clouds
20,Nioaque,BR,-21.1353,-55.83,75.0,41,2,4.74,clear sky
21,Nikolskoye,RU,59.7035,30.7861,58.8,97,75,3.62,broken clouds
22,Celano,IT,42.0855,13.5398,59.61,87,1,3.6,clear sky
23,Ostrovnoy,RU,68.0531,39.5131,45.95,90,96,2.33,overcast clouds
24,Kapaa,US,22.0752,-159.319,82.38,83,99,4.0,moderate rain
25,Pisco,PE,-13.7,-76.2167,61.02,88,0,18.41,clear sky
26,Pevek,RU,69.7008,170.3133,32.25,97,100,16.62,light snow
27,Lebu,CL,-37.6167,-73.65,48.83,85,96,11.63,overcast clouds
28,Hami,CN,42.8,93.45,82.27,20,98,16.89,overcast clouds
